Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Adient PLC","ADNT","1236",".05","44.48","3440","4328","4499","1.04",".82","1.45","6.7","1551","1193","16213",".55","710.71655","4.89","","85.93","4264.3","2.41",".66","3.46","1.03",".25","6.82","93.37","14.27","7.95","","3.63","1555052.75"
"ADOMANI, Inc.","ADOM","-21.79001","-52.12",".13","0","2.69","4.44","3.94","0","-.06","","-21.48","-21.58",".42","0","51.09286","-216.77","","13.35","51.09","0","","","5.27","","","72.5","-311.93","-311.93","","","1075023"
"Automatic Data Processing, Inc.","ADP","2377.19995",".12","7.9","2002.40002","30413.5996","32050","1.05",".58",".92","4.34","2722.8999","2273.80004","13325.8","2.51999","6244.87353","4.78","4.1062","142.55","62448.73","1.94","2.43","26.42","18.05","4.69","32.85","438.08","50.17","32.99","25.63699","14.47","2087903.63"
"Ahold NV","ADRNY","3873.60107",".03","14.79","3717.55004","11647.74023","11269.08984","1.05","",".43","1.57","4610.47021","2511.51","71042.12",".50962","9841.76855","4.94","5.1556","25.42","29525.31","2.74","1.45","7.62","1.61",".4","15.2","1236.92","11.2","8.97","10.767","2.69","70461.6"
"Aduro Biotech, Inc.","ADRO","-98.627","-5.33","2.23","0","41.4","350.13","8.15","0","-.31","-1.27","-98.62001","-103.22001","17.24","0","90.91899","-22.52","-19.727","12.15","454.59","0","","","2.58","27.03","","79.06","-44.97","-44.97","-35.41401","-579.76","318373.84"
"Alliance Data Systems Corporation","ADS","1564.17102",".1","38.57","17980.40039","10146.70019","24705.5996","2.14","7.25","5.01","21.06","2187.10009","1645.5","7719.4","2.07999","2179.71997","3.83","4.29559","276.37","13078.32",".96",".93","8.41","6.17","1.68","11.81","54.94","59.18","6.24","7.12919","14.35","377837.19"
"Autodesk, Inc.","ADSK","-242.9","-.28","-.59","1586","2123.19995","1877.90002",".92","",".06","-.26","-400.70002","-509.10001","2056.6","0","3633.30541","-7.13","-.65109","141.26","29066.44","0","290.88","","","13.64","","219.62","-3087.49","-18.48","-3.12011","-13.84","1537080.75"
"Advanced Disposal Services Inc.","ADSW","337.20001",".03","10.25","1884.19995","368.70001","244.6",".69","2.04",".19",".57","385.1","90.09999","1507.6","0","450.19912","1.43",".09468","25.55","2251","0","2.85","6.67","2.48","1.46","44.58","88.59","5.68","1.82",".11778","3.25","595320.25"
"ADVANCED DEPOSI","ADTC","","","","","","","","","","","","","","0","","","",".01",".04","0","","","","","","5.02","","","","","260"
"Adaptive Medias, Inc.","ADTM","-7.192","","","0","5.94","2.46","","","","","-11.96001","-14.9","4.66","0","","","-268.27601","0",".03","0","","","","","","105.67","","","-1572.62806","","38878092"
"ADTRAN, Inc.","ADTN","59.423",".04","9.63","25.6","106.80999","413.10998","2.93",".06","-.1",".03","61.34","45.22999","666.58",".36","390.26632","-.41","4.85659","24.5","780.53","2.2","","13.25","1.7","1.39","","47.74","-.56","-.53","6.19619","-.48","273659.84"
"Addus HomeCare Corporation","ADUS","25.27799",".03","15.93","39.86","52.16999","151.08","3.09",".53",".5","1.8","35.04","26.52","425.71","0","348.57058","6.49","6.6707","70.3","697.14","0","2.45","27.42","3.74","1.51","37.48","11.7","10.45","8","8.92339","4.05","184343.59"
"Advant-e Corp.","ADVC","","","","","","","","","","","","","","0","","","","5.65","304.32","0","","","","","","59.67","","","","","971.6"
"Adverum Biotechnologies, Inc.","ADVM","-53.467","-30.36","3.72","0","10.67","193.74","20.92","0","-.3","-1.24","-53.46","-56.14","1.85","0","81.50219","-28.6","-21.931","7.95","326.01","0","","","1.4","199.64","","62.69","-30.61","-30.61","-23.55401","-3957.63","442534.69"
"ADVA OPTICAL","ADVOF","4.08699","-.01","5.16","19.78","208.82","262.95001","1.26","",".11",".03",".87999",".87999","581.16","0","370.5332",".21","","8.62","370.53","0","","90.66","1.44",".66","248.33","49.74",".44",".4","",".21","273.1"
"Adams Diversified Equity Fund, Inc.","ADX","","","","","","","","","","","","","28.27",".21999","","","","16.16","1641.86","1.36","","","","","","101.66","","","","","129257.3"
"Advaxis, Inc.","ADXS","-92.13501","-7.77",".87","0","20.86","81.23999","3.47","","-.27","-2.13","-96.53","-97.83001","12.03","0","37.88711","-99.5","-82.769","7.41","75.77","0","","","1.66","8.79","","52.62","-168.35","-168.12","-105.308","-1041.72","346476.84"
"Ameren Corporation","AEE","1665",".08","30.85","7094","2940","1612",".62","1.01",".97","3.22","2470","1496","6177","1.7775","3951.00756","3.02","2.6751","64.76","15804.03","2.83","3.01","9.44","2.1","2.52","21.3","244.04","10.6","5.42","4.7283","12.55","1241802.5"
"Aberdeen Emerging Markets Equity Income Fund, Inc.","AEF","","","","","","","","","","","","","",".02137","","","","9.54","601.43",".83","","","","","","88.97","","","","","129423.7"
"Aegon NV","AEG","2923.74804",".07","13.35","16275.19042","366999.40625","33875.08984",".09","",".22",".84","4238.62011","3355.8601","37242.67",".24729","4086.80004",".4",".37498","7.41","12260.4","4.65","","4.19",".45",".33","7.15","2040","6.59","4.04","3.7808","4.82","1259473.75"
"Aegion Corporation","AEGN","124.58499","-.05","15.17","318.23999","261.67001","587.05999","2.32",".63",".34",".99","44.56999","-45.23","1359.02","0","400.242","2.98","3.5643","27.88","800.48","0","1.45","6.41","1.62",".63","24.81","32.59","6.5","3.97","4.62729","2.58","78855.85"
"Aehr Test Systems","AEHR","-4.244",".02",".86","6.11","7.88","29.37","4.62","",".02",".07","-4.54","-4.95","29.56","0","","1.68","-30.213","4.09","52.69","0","","","2.79","1.78","120","21.95","2.92","2.18","-53.175","1.79","99714.7"
"Advanced Energy Industries, Inc.","AEIS","179.287",".21","15.23","0","106.11","595.21997","5.07","0","1.25","5.09","207.61","198.19","671.01","0","450.43682","24.13","16.51","94.25","2252.18","0","1.4","12.74","3.78","3.01","12.28","39.11","33.4","33.4","24.70599","25.04","476561.75"
"American Equity Investment Life Holding Company","AEL","737",".04","26.88","736.65002","56425.55859","6721.33984",".12",".3",".95","3.58","812.71002","360.76","3891.65",".25999","843.2152",".53",".40343","37.36","3372.86",".7","","4.52","1.39","1.14","10.44","90.28","12.32","9.64","6.84429","11.06","361153.06"
"Agnico Eagle Mines Limited","AEM","765.919",".11","21.11","1371.84997","333.82","1461.53002","4.02",".35",".01",".65","930.03997","421.30999","2242.6",".40999","1384.49316","1.9","2.23489","51.43","8306.96","1.24","","10.78","1.68","3.64","54.71","233.6","3.07","2.37","2.79139","6.65","1371013.75"
"Aethlon Medical, Inc.","AEMD","-5.40001","-37.8",".29",".83999",".46999","7.23","13.49",".17","-.06","-.34","-5.05001","-5.33",".15","0","9.7889","-96.36","-480.39499","2.7","19.58","0","","","3.83","","","17.8","-126.58","-104.65","-546.20398","","83372.9"
"American Eagle Outfitters, Inc.","AEO","377.75",".05","6.84","0","485.22","968.53002","2.01","",".23","1.23","456.64001","287.17001","3795.55",".5","492.7503","12.57","10.704","28.02","4927.5","1.97","2.31","13.1","4.08","1.28","22.68","176.61","18.65","18.65","16.072","5.73","3594889.5"
"American Electric Power Company, Inc.","AEP","3934.19995",".12","38.04","19419.5996","8271.2998","4253.10009",".5","1.05","1.01","3.92","5837.5","3711.19995","15400","2.39","4467.21435","2.96","2.91079","77.63","35737.71","3.42","3.33","9.06","1.91","2.24","18.49","492.93","10.5","5.15","5.12039","12.13","2401096.25"
"W2 Energy Inc.","AEPT","","","","","","","","","","","","","","0","","","",".2",".28","0","","","","","","55.64","","","","","34212.9"
"Applied Energetics Inc.","AERG","-.76","","0","0",".86",".00307","1.08","0","-.01","","-.73001","-.76","","0","","-643.35","-1778.04798",".17","17.51","0","","","250.19","","","191.2","","","-763.74","","136947.5"
"Aerie Pharmaceuticals, Inc.","AERI","-117.307","","4.31","123.83999","25.18","254.13999","10.27",".64","-1.14","-4.06","-145.14","-146.86001","","0","963.98236","-53.3","-82.69201","73.9","2891.95","0","","","14.84","","","45.22","-98.4","-58.49","-60.62301","","368779.16"
"Aero Grow International Inc.","AERO",".432","-.01",".35",".00999","5.21999","17.61","3.65","0","-.02","0","-.08","-.42","32.3","0","","-.2","-20.511","3.44","81.01","0","","187.54","6.7","2.41","","34.33","-.29","-.29","-100.755","-.11","8127.15"
"The AES Corporation","AES","1879.13098","-.11","8.55","17801","6028","6398","1.32","3.24",".25","1.2","1940","771","10530",".47999","2305.96508","3.12","2.4109","13.95","9223.86","3.73","1.44","4.9","1.63",".8","11.62","661.68","19.26","4.47","3.5915","9.26","7302345.5"
"Aetna Inc.","AET","4066",".03","53.97","8160","25261","16358",".74",".44","3.43","10.32","4191","3434","60535","1.75","6510.67626","5.93","4.9278","198.86","65106.76","1.01","1.71","15.98","3.68","1.07","19.27","327.4","20.66","13.93","11.199","5.61","1990066"
"American Electric Technologies, Inc.","AETI","-4.108","-.05",".56","5.51999","15.65999","16.69",".66","0","-.01","-.55","-3.19001","-4.11001","47.13","0","","-12.81","-8.0258","1.8","8.35","0","","","1.66",".23","","8.92","-58.86","-27.08","-13.69401","-12.05","130001.45"
"ATOS ORIGIN SA","AEXAY","1185.72497",".05","11.23","1403.04003","6138.54003","7274.49023","1.19","","","","1452.31005","945.48999","14336.07",".25518","","","","32.13","11911.93","1.24","","10.02","2.01","","","527.31","","","","","14115.4"
"ADDvantage Technologies Group, Inc.","AEY","1.61199","0","3.82","2.08999","9.64999","32.40999","3.63","0","-.04","-.13","1.85",".14","48.71","0","","-2.33","1.3076","1.54","14.02","0","","8.6",".36",".29","","10.31","-2.9","-2.84","1.4821","-2.42","11410.9"
"Audioeye, Inc.","AEYED","-4.20801","-2.04",".46","0","4.32999","2.13",".59",".02","-.25","-1.25","-3.29","-4.69001","2.74","0","","-107.83","-135.66001","8.75","","0","","","15.4","","","","-330.87","-328.07","-448.11301","-121.01","3635.68"
"AEterna Zentaris Inc.","AEZS","-20.63501","-18.19",".58","0","5.76","9.38","4.05","0","-.16",".03","-20.63","-20.27001",".92","0","29.9208","3","-50.60101","2.7","29.92","0","","","3.15","1.19","60.67","16.44","20.71","20.71","-285.87702","3.35","66494.3"
"Affirmative Insurance Holdings Inc.","AFFMQ","","","","","","","","","","","","","","0","","","","0",".02","0","","","","","","16.16","","","","","2.5"
"Affymax Inc.","AFFY","","","","","","","","","","","","","","0","","","",".06","1.46","0","","","","","","37.49","","","","","48152.35"
"American Financial Group, Inc.","AFG","695",".07","57.07","1301","46805","8231",".15",".26","2.04","7.72","916","809","6865","1.2875","5046.83496","1.14",".98596","120.49","10093.67","1.24","1.08","14.36","1.99","1.42","14.68","89.09","13.27","10.64","8.0832","9.81","280797.5"
"Atlas Financial Holdings, Inc.","AFH","-40.56601","-.17","8.06","24.03","367.82","187.91",".56",".25",".61","-3.8","-39.24001","-42.31001","221.98","0","127.72589","-9.59","1.00049","21.35","127.73","0","","","1.33",".55","","11.94","-43.63","-35.54","2.1868","-20.01","70996.55"
"Armstrong Flooring, Inc.","AFI","84.4","-.04","21.41","86","151","390.29998","2.43",".13",".47",".31","31.5","-47.20001","1133.7","0","149.99302",".93",".1162","17.57","449.98","0","1.88","5.32",".82",".4","56.32","25.77","1.48","1.28",".17259",".72","130494.9"
"American Finance Trust, Inc.","AFIN","","","","","","","","",".27","","","","","0","","","","16.43","1742.52","2.86","","","","","","106.12","","","","","311317.34"
"Aflac Incorporated","AFL","3848",".21","31","5289","99147","5087",".05",".22","1.07","3.77","5390","4258","21667",".87","5128.90332","2.11","2.1888","46.87","35902.32","2.22","1.36","9.55","1.51","1.63","12.4","767.8","12.53","10.23","11.784","13.49","3034770.25"
"Air France-KLM SA","AFLYY","2931.90502","-.01","6.69","6854.12988","12484.16015","10230.3496",".69","",".31","2.38","1423.05004","-584.35999","30365.82","0","2153.88598","3.14",".43033","17.18","4307.77","0","","1.47","1.5",".14","","428.63","32.01","8.39","1.68359","3.17","19546.05"
"Affimed N.V.","AFMD","-33.751","-15.04",".9","4.61","8.46","47.43999","5.36",".06","-.16","-.71","-33.79001","-34.18001","2.27","0","33.27466","-57.62","-37.892","2.65","99.82","0","","","1.77","46.84","","62.39","-74.04","-67.94","-43.452","-1723.04","210096.2"
"All For One Media Corp.","AFOM","-4.43","","-.05",".23","6.42999",".28",".04","0","","","-3.69001","-4.21001","","0","4.02935","","",".19","4.03","0","","","","","","46.85","","","","","416350.75"
"AmTrust Financial Services, Inc.","AFSI","-163.66001","-.06","13.69","1288.71997","19309.08007","10535.33007",".54",".49","-.31","1.06","-238.26","-409.47001","5958.94",".68","1420.63574","-1.58","2.32599","14.73","2841.27","4.7","","","1.06",".43","13.65","196.36","-14.82","-8.2","11.10999","-6.16","509450.59"
"Aftermaster, Inc.","AFTM","-7.78001","","-.06","0","9.94999","1.08",".1","","-.02","","-5.91","-6.64",".87","0","","-565.36","-579.72901",".19","10.73","0","","","","5.62","","143.1","","","","-391.99","306349.44"
"First Majestic Silver Corp.","AG","71.83399","-.21","3.87","24.45","54.36999","170.64999","3.2",".2","-.07","-.17","7.03999","-71.03","252.29","0","253.47656","-3.07","1.5697","8.26","1013.91","0","","12.13","1.36","3.88","","193.13","-4.4","-3.9","2.1442","-10.79","2730197"
"AGCO Corporation","AGCO","522.5",".02","37.89","1618.09997","2650.60009","3627.69995","1.42",".58","1.32","3.56","609.40002","328.89999","8306.5",".56","678.27587","3.51","4.3473","75.48","4747.93","1","1.01","9.14","1.58",".52","16.86","79.12","9.31","5.85","7.2251","3.16","830522.56"
"Andes Gold Corp.","AGCZ","","","","","","","","","","","","","","0","","","",".02",".07","0","","","","","","7.36","","","","","14427.65"
"Agenus Inc.","AGEN","-114.69201","-2.81","-1","142.38","56.43","73.55","1.32","-.11","-.24","-1.38","-95.83001","-101.83001","42.88","0","94.59046","-102.16","-58.15801","6.04","189.18","0","","","","4.41","","113.28","","-370.37","-156.767","-281.49","1258511"
"Ageas SA","AGESY","1543.67199",".05","61.1","2225.8999","95662.60937","5355.58007",".06","","1.54","4.47","2224.29003","1384.59997","14401.82","1.6496","10700.33984",".75",".48173","54.03","10700.34","3.34","1.37","6.93",".84",".73","11.43","209.4","7.7","6.42","3.55349","6.12","4005.4"
"AgroFresh Solutions, Inc.","AGFS","53.62099",".14","7.46","402.85998","94.68","178.83","1.93","1.07","-.44","-.52","109.87999","54.72999","164.03","0","","-2.74","2.65529","8.24","274.14","0","","5.1",".73","1.59","","50.49","-6.57","-3.26","8.43239","-15.12","111010.15"
"iShares Core U.S. Aggregate Bond ETF","AGG","","","","","","","","","","","","","","2.5373","","","","110.57","56455.73","2.48","","","","","","530.3","","","","","3507856.5"
"Authentidate Holding Corp.","AGHC","26.2","",".35","0","8.64999","2.66",".37","","-.25","",".00999","-4.97","20.19","0","","105.44","-54.15701","1.65","4.7","0","",".18","1.82",".28","","7.34","284.03","280.87","-77.725","91.01","5793.95"
"Alamos Gold Inc.","AGI","162.783",".05","6.85","3.29999","106.69999","446.70001","3.7","0",".01",".13","156.89999","31.29999","542.8",".01999","341.28961","1.38",".55598","8.53","1706.45",".46","1.08","10.47",".64","2.7","33.69","389.6","1.7","1.7",".55684","6.77","1698555.25"
"Agios Pharmaceuticals, Inc.","AGIO","-308.25","-7.32","14.19","0","94.94","445.26","8.88","0","-1.19","-6.22","-308.25","-314.67002","43.01","0","881.60955","-38.92","-30.41501","99.55","4408.05","0","","","5.36","62.67","","57.99","-51.71","-51.71","-45.912","-462.08","445697.41"
"Aeglea BioTherapeutics, Inc.","AGLE","-26.90601","-5.23","3.34","0","5.61999","54.99","12.78","0","-.46","-1.81","-26.9","-27.23","5.2","0","202.354","-51.84","-51.196","11","202.35","0","","","2.76","30.52","","22","-57.15","-57.15","-55.22701","-480.92","135854.09"
"Allergan plc","AGN","13339","-.26","209.94","25843.5","9848.0996","11376.70019","1",".34","4.42","17.17","-1762.70105","-9290.80079","15940.7","2.79999","3000.03857","5.23","5.7764","233.55","63000.81","1.55","1.39","4.63",".88","3.9","10.81","339.44","8.6","6.13","7.20539","37.09","1851992"
"AGNC Investment Corp.","AGNC","1301","1","17.91","357","50718","12324",".29",".04",".63","2.44","1152","771","769","2.16","3074.05249","1.39","1.42449","21.85","9222.16","11.19","","5.8","1.08","8.96","7.91","477.83","11.69","10.62","9.42619","93.68","7567565.5"
"AG&E Holdings, Inc.","AGNU","-1.54","-.14",".02","1.50999","2.30999","3.04999",".65","2.8","-.06","","-1.49001","-1.74001","13.2","0","","-46.41","-18.73",".26",".34","0","","",".97",".03","","16.95","-184.46","-104.01","-26.688","-20.98","17986"
"Assured Guaranty Ltd.","AGO","615",".42","61.21","1292","3536","1751",".56",".19",".66","4.05","1042","1088","1739",".56999","","3.33","4.44259","43.26","4554.42","1.52","","8.03",".69","3.21","10.38","108.39","7.02","5.9","9.3829","33.57","728423.19"
"Atlas Iron Limited","AGODY","92.33","",".02","76.87","60.25","108.31999","1.98","","","","102.61","46.43999","656.46","0","","","",".22","826.81","0","","8.94","3.57","","","9279.61","","","","","7.45"
"Agile Property Holdings Ltd.","AGPYY","412.97198",".13","83.46","5110.29003","7460.70019","8031.75","1.08","","","","1295.43994","2481.58007","7637.85","2.5908","","","","104.18","5985.25","11.21","","14.49",".92","","","78.34","","","","","20.25"
"Avangrid, Inc.","AGR","1548",".06","50.06","5196","3114","2260",".73",".34",".41","2.2","1269","403","5963","1.728","3116.00634","2.16","2.21919","54.26","15580.03","3.43","2.38","10.06","1.01","2.54","22.92","309.01","4.47","3.35","3.486","11.12","536225.69"
"Adecoagro S.A.","AGRO","160.972",".01","5.22","663.05999","282.39999","689.45001","2.14","",".77",".84","288.01998","137.02","933.18","0","514.12481","5.73",".61434","11.02","1028.25","0","","6.39","1.62","1.13","10.08","121.4","14.99","7.02",".78166","10.8","443038.94"
"Agile Therapeutics, Inc.","AGRX","-28.28401","",".76","0","14.27","36.70999","2.19","0","-.16","-.77","-26.37001","-26.39","","0","2.19153","-55.2","-47.625","5.31","8.77","0","","",".33","","","34.38","-77.24","-74.01","-56.119","","544348.88"
"PlayAGS, Inc.","AGS","34.194","-.21","3.94","644.15002","43.72","82.69999","2.74","3.55","-.02","","87.81999","8.52","211.96","0","362.9635","-3.48","","30.88","1088.89","0","","30.37","7.83","4.32","","35.26","-40.01","-3.9","","-9.46","570729.88"
"Applied Genetic Technologies Corporation","AGTC","1.317","","5.78","0","28.14999","130.22999","6.61","","-.45","-1","3.71","2.79999","39.47","0","25.05355","-13.16","-12.70401","5.65","75.16","0","","56.98",".72","2.77","","18.11","-16.01","-16.01","-14.136","-65.96","76376.65"
"Agritek Holdings, Inc.","AGTK","-7.42001","-183","0","0","7.07",".4",".08","","0","","-5.55001","-7.28001",".05","0","","-836.79","",".04","7.29","0","","","","","","801.43","","","","","3584901.25"
"Argan, Inc.","AGX","76.40499",".08","23.09","0","243.97999","545.75","2.82","",".31","3.61","116.43","112.62","892.82","1","","9.19","11.22999","69.6","608.75","2.56","","7.96","1.69",".76","10.83","15.57","16.11","16.11","22.186","7.07","121191.6"
